u,v,name,length,highway,oneway
4779073680,42433408,FDR Drive,71.5872996828,secondary,True
4779073680,42424025,East 96th Street,32.2442433605,secondary,True
42442898,42442895,2nd Avenue,79.5847186808,primary,True
42442902,42445417,East 30th Street,229.637366945,secondary,True
42442902,42436754,2nd Avenue,79.5645592181,primary,True
42437316,42439728,Edgecombe Avenue,85.212970732,tertiary,False
42437316,42439730,Edgecombe Avenue,77.5140398887,tertiary,False
42437316,42437319,West 165th Street,159.579153777,tertiary,False
42442906,42442902,2nd Avenue,77.2442963372,primary,True
42442906,42449926,East 31st Street,212.975758878,unclassified,True
42442910,42442906,2nd Avenue,81.6853337005,primary,True
42442913,42449928,East 33rd Street,214.73009421,unclassified,True
42442913,42442910,2nd Avenue,74.5593308562,primary,True
42434722,42434589,Margaret Corbin Drive,349.944844391,unclassified,True
42446875,42449890,3rd Avenue,74.2850799005,primary,False
42446875,42434355,East 17th Street,154.103046399,residential,True
42446875,42437283,3rd Avenue,74.5642730987,primary,False
42442918,42426816,East 37th Street,132.372966987,secondary,False
42442918,3904954788,2nd Avenue,10.7039771957,primary,True
42439905,42438281,Adam Clayton Powell Jr. Boulevard,78.956606592,primary,True
42439905,42435863,West 143rd Street,266.648296759,residential,True
42437319,42442697,Amsterdam Avenue,83.7188956899,secondary,False
42437319,42437316,West 165th Street,159.579153777,tertiary,False
42437319,42442702,Amsterdam Avenue,76.6764517102,secondary,False
42437319,42437326,West 165th Street,146.907013336,tertiary,True
42434589,374494595,Margaret Corbin Drive,77.9737734725,residential,True
42434589,42434559,Margaret Corbin Drive,113.382052882,unclassified,True
42442931,42454006,East 38th Street,81.8359944425,unclassified,True
42442931,42442918,2nd Avenue,78.9036964926,primary,True
42442933,42445664,East 39th Street,132.953753122,residential,True
42442933,42442931,2nd Avenue,79.2260250728,primary,True
42451126,4950763055,FDR Drive,267.166439587,residential,True
42442935,42453008,East 40th Street,80.5987460297,unclassified,True
42442935,42442933,2nd Avenue,77.8791157307,primary,True
42442937,42432464,2nd Avenue,85.2083996208,primary,True
42442937,42455929,East 42nd Street,215.988775706,primary,False
42442937,42449945,East 42nd Street,212.744606066,primary,False
42442939,42442937,2nd Avenue,84.802203246,primary,True
42442939,42449947,East 43rd Street,213.359186006,residential,True
1764647101,42429184,Broadway,91.9208624498,primary,False
1764647101,42427844,Broadway,54.3221143701,primary,False
42442943,42453000,East 44th Street,231.452138844,residential,True
42442943,42442939,2nd Avenue,79.4557517857,primary,True
42442947,42444051,East 45th Street,213.191292772,secondary,True
42442947,42442943,2nd Avenue,79.6255033661,primary,True
42442948,42449954,East 47th Street,213.528292963,residential,True
42442948,42434090,2nd Avenue,76.7213713,primary,True
42442949,595105496,East 48th Street,213.895497592,residential,True
42442949,42442948,2nd Avenue,81.5227310011,primary,True
42442952,42438894,2nd Avenue,79.5836994506,primary,True
42442952,42455934,East 50th Street,228.298377358,secondary,True
42442955,42440465,2nd Avenue,79.3963357145,primary,True
42442955,42452882,East 52nd Street,227.63742938,residential,True
42442957,42455963,East 54th Street,229.646121857,secondary,True
42442957,42436710,2nd Avenue,78.186576389,primary,True
42442959,42448379,East 55th Street,214.173036507,unclassified,True
42442959,42442957,2nd Avenue,81.5189167683,primary,True
42442960,42443618,East 56th Street,228.412124276,residential,True
42442960,42442959,2nd Avenue,78.6572568183,primary,True
42442961,42432861,2nd Avenue,86.3620273479,primary,True
42442961,3785586743,East 58th Street,15.471271754,secondary,True
42442963,42423752,East 62nd Street,95.7421832123,residential,True
42442963,42436527,2nd Avenue,79.9223168882,primary,True
42422053,42422056,Liberty Street,88.2604454606,unclassified,True
42422053,42448583,William Street,36.4781908464,unclassified,True
42434780,42434722,Fort Tryon Place,91.2786047222,residential,True
42423674,42440025,7th Avenue,83.0893320024,secondary,True
42423674,42430394,Central Park South,275.285031293,secondary,False
42423674,4347550074,Central Park South,187.440836557,secondary,False
42446885,42442877,East 17th Street,76.882775475,residential,True
1506902240,42456888,Trinity Place,9.6288118656,secondary,True
42442977,42455675,East 65th Street,228.313812688,secondary,True
42442977,42431659,2nd Avenue,79.5011550954,primary,True
42442983,42442977,2nd Avenue,79.3418862318,primary,True
42442983,42447235,East 66th Street,215.961811859,secondary,True
42451787,387184869,1st Avenue,77.2079730383,primary,True
42451787,1692450029,East 21st Street,232.571386406,residential,True
42427773,42437944,Wadsworth Avenue,83.9684622747,tertiary,False
42427773,42427769,West 192nd Street,97.3189592336,residential,True
42427773,42433138,Wadsworth Avenue,113.154697259,tertiary,False
42434800,42429874,5th Avenue,78.2623968381,secondary,True
42434800,42428220,West 27th Street,107.923507783,unclassified,True
42434807,42439842,7th Avenue,77.9864382959,secondary,True
42434807,42434810,West 27th Street,273.57291723,unclassified,True
42443000,42431681,2nd Avenue,79.0424562662,primary,True
42443000,42449991,East 69th Street,215.841780428,residential,True
246923513,246858654,Battery Place,41.9274719146,primary,True
246923513,42451375,West Street,21.5754013493,trunk,True
42434810,42435633,8th Avenue,76.9253552094,secondary,True
42453717,42442584,West 125th Street,238.623741593,primary,False
42453717,561035343,West 125th Street,65.9437119467,primary,False
42443009,42445236,East 71st Street,216.007755015,residential,True
42443009,42429693,2nd Avenue,76.5140712208,primary,True
42434821,42430600,West 27th Street,273.984413581,residential,True
42434821,42438674,10th Avenue,78.5776390553,primary,True
42440065,42435881,West 150th Street,95.2880320239,residential,True
42440065,42434314,Bradhurst Avenue,78.9142073657,tertiary,False
42440065,42440069,Bradhurst Avenue,79.3439876869,tertiary,False
42434827,42438684,12th Avenue,80.6733350206,trunk,True
42443020,42430068,2nd Avenue,80.5017758096,primary,True
42443020,42454701,East 76th Street,228.190142829,residential,True
248709390,42435275,Terrace Drive,151.140296817,unclassified,False
248709390,595703341,Terrace Drive,87.4317159716,unclassified,True
42443024,42446472,East 77th Street,215.995300002,residential,True
42443024,42443020,2nd Avenue,80.0672174135,primary,True
42434833,42434832,Gouverneur Slip East,58.7368824955,residential,True
42434833,42427750,Water Street,228.490567022,residential,True
42443027,42436921,2nd Avenue,87.5238267616,primary,True
42443027,42456060,East 79th Street,227.832813731,secondary,False
42443027,42450015,East 79th Street,218.563468395,secondary,False
42443029,42450025,East 81st Street,215.926189798,residential,True
42443029,42438506,2nd Avenue,80.0698626385,primary,True
42434839,42438779,Saint John's Lane,79.0320223824,residential,True
